0	359.0
1	312.0
2	343.0
3	58.0
4	232.0
5	130.0
6	464.0
7	489.0
8	0.0
9	140.0
10	111.0
11	215.0
12	380.0
13	162.0
14	43.0
15	379.0
16	242.0
17	350.0
18	137.0
19	351.0
20	266.0
21	5.0
22	71.0
23	167.0
24	168.0
25	193.0
26	252.0
27	419.0
28	272.0
29	14.0
30	18.0
31	173.0
32	480.0
33	119.0
34	494.0
35	27.0
36	0.0
37	207.0
38	0.0
39	100.0
40	476.0
41	442.0
42	372.0
43	56.0
44	294.0
45	364.0
46	378.0
47	349.0
48	363.0
49	338.0
50	395.0
51	285.0
52	1.0
53	37.0
54	53.0
55	123.0
56	3.0
57	262.0
58	149.0
59	411.0
60	418.0
61	234.0
62	394.0
63	413.0
64	17.0
65	20.0
66	11.0
67	134.0
68	16.0
69	180.0
70	474.0
71	305.0
72	309.0
73	115.0
74	226.0
75	143.0
76	270.0
77	196.0
78	0.0
79	0.0
80	247.0
81	183.0
82	249.0
83	110.0
84	112.0
85	98.0
86	461.0
87	465.0
88	468.0
89	88.0
90	486.0
91	439.0
92	390.0
93	298.0
94	157.0
95	57.0
96	50.0
97	290.0
98	276.0
99	291.0
100	391.0
101	311.0
102	300.0
103	366.0
104	289.0
105	400.0
106	265.0
107	384.0
108	336.0
109	45.0
110	42.0
111	125.0
112	60.0
113	0.0
114	67.0
115	227.0
116	78.0
117	194.0
118	141.0
119	184.0
120	82.0
121	73.0
122	254.0
123	431.0
124	423.0
125	408.0
126	406.0
127	240.0
128	422.0
129	91.0
130	497.0
131	500.0
132	322.0
133	435.0
134	306.0
135	278.0
136	454.0
137	448.0
138	491.0
139	450.0
140	483.0
141	89.0
142	29.0
143	31.0
144	0.0
145	0.0
146	0.0
147	0.0
148	0.0
149	208.0
150	85.0
151	92.0
152	206.0
153	220.0
154	327.0
155	177.0
156	479.0
157	441.0
158	437.0
159	84.0
160	0.0
161	0.0
162	359.0
163	295.0
164	353.0
165	359.0
166	369.0
167	348.0
168	360.0
169	348.0
170	331.0
171	338.0
172	58.0
173	39.0
174	53.0
175	261.0
176	46.0
177	260.0
178	261.0
179	232.0
180	235.0
181	234.0
182	396.0
183	397.0
184	9.0
185	10.0
186	10.0
187	134.0
188	128.0
189	315.0
190	303.0
191	301.0
192	309.0
193	179.0
194	229.0
195	365.0
196	354.0
197	195.0
198	0.0
199	0.0
200	245.0
201	248.0
202	250.0
203	111.0
204	113.0
205	111.0
206	462.0
