0	338.0
1	137.0
2	391.0
3	262.0
4	227.0
5	90.0
6	456.0
7	435.0
8	246.0
9	192.0
10	436.0
11	216.0
12	42.0
13	39.0
14	43.0
15	398.0
16	270.0
17	352.0
18	311.0
19	375.0
20	290.0
21	298.0
22	73.0
23	414.0
24	182.0
25	24.0
26	60.0
27	0.0
28	0.0
29	31.0
30	447.0
31	491.0
32	307.0
33	17.0
34	466.0
35	240.0
36	433.0
37	0.0
38	93.0
39	84.0
40	472.0
41	112.0
42	259.0
43	145.0
44	293.0
45	373.0
46	340.0
47	348.0
48	333.0
49	361.0
50	364.0
51	295.0
52	154.0
53	152.0
54	162.0
55	123.0
56	168.0
57	58.0
58	1.0
59	167.0
60	0.0
61	65.0
62	229.0
63	143.0
64	117.0
65	119.0
66	29.0
67	309.0
68	303.0
69	128.0
70	16.0
71	138.0
72	289.0
73	130.0
74	397.0
75	416.0
76	238.0
77	245.0
78	183.0
79	424.0
80	0.0
81	0.0
82	0.0
83	439.0
84	442.0
85	486.0
86	464.0
87	499.0
88	461.0
89	91.0
90	111.0
91	110.0
92	126.0
93	51.0
94	48.0
95	49.0
96	147.0
97	346.0
98	267.0
99	332.0
100	347.0
101	376.0
102	302.0
103	366.0
104	345.0
105	383.0
106	389.0
107	382.0
108	379.0
109	158.0
110	296.0
111	390.0
112	254.0
113	418.0
114	243.0
115	232.0
116	191.0
117	194.0
118	170.0
119	74.0
120	41.0
121	63.0
122	188.0
123	0.0
124	0.0
125	0.0
126	0.0
127	27.0
128	0.0
129	88.0
130	483.0
131	494.0
132	450.0
133	489.0
134	305.0
135	474.0
136	481.0
137	20.0
138	322.0
139	21.0
140	457.0
141	237.0
142	10.0
143	14.0
144	410.0
145	419.0
146	429.0
147	0.0
148	213.0
149	208.0
150	221.0
151	0.0
152	85.0
153	201.0
154	496.0
155	437.0
156	479.0
157	326.0
158	318.0
159	106.0
160	95.0
161	98.0
162	420.0
163	284.0
164	292.0
165	373.0
166	362.0
167	348.0
168	331.0
169	338.0
170	348.0
171	294.0
172	149.0
173	150.0
174	159.0
175	163.0
176	153.0
177	261.0
178	261.0
179	228.0
180	66.0
181	65.0
182	226.0
183	226.0
184	178.0
185	116.0
186	115.0
187	308.0
188	179.0
189	137.0
190	133.0
191	137.0
192	282.0
193	282.0
194	394.0
195	402.0
196	242.0
197	247.0
198	247.0
199	247.0
200	198.0
201	0.0
202	193.0
203	439.0
204	439.0
205	486.0
206	456.0
207	462.0
208	461.0
209	105.0
210	105.0
211	108.0
212	125.0
213	5.0
214	34.0
215	47.0
216	49.0
217	50.0
218	35.0
219	44.0
220	335.0
221	337.0
222	384.0
223	222.0
224	400.0
225	223.0
226	224.0
227	368.0
228	366.0
229	358.0
230	398.0
231	339.0
232	336.0
233	342.0
234	381.0
235	386.0
236	378.0
237	360.0
238	371.0
239	370.0
240	374.0
241	57.0
242	57.0
243	263.0
244	171.0
245	380.0
246	387.0
247	254.0
248	252.0
249	251.0
250	148.0
251	230.0
252	230.0
253	393.0
254	264.0
255	141.0
256	142.0
257	141.0
258	156.0
259	77.0
260	253.0
261	254.0
262	36.0
263	37.0
264	40.0
265	3.0
266	2.0
267	181.0
268	187.0
269	0.0
270	0.0
271	0.0
272	0.0
273	0.0
